scenario,users_per_cohort,day,bps_1nft,bps_3nft,nft_count_1,nft_count_3,effective_stake_1,effective_stake_3,share_1,share_3,reward_per_user_1,reward_per_user_3,cum_reward_per_user_1,cum_reward_per_user_3,raw_stake_1,raw_stake_3,daily_emission,cumulative_emission
B,100,203,5684,15834,203,609,101798.45345130286,295799.5231425062,0.25603363056171036,0.7439663694382896,159.67569145885335,463.9755496243668,64745.601125852416,114644.06192513964,65065.601125852416,114964.06192513964,62365.12410832202,17938966.305099204
B,100,204,5712,15912,204,612,102231.07248893933,297894.8772604218,0.25549723169161326,0.7445027683083868,158.75304056147505,462.5963161825971,64904.35416641389,115106.65824132223,65224.35416641389,115426.65824132223,62134.93567440721,18001101.24077361
B,100,205,5740,15990,205,615,102663.13345793546,299993.8847691965,0.25496422218083614,0.7450357778191639,157.83583631892282,461.21508372340395,65062.190002732816,115567.87332504564,65382.190002732816,115887.87332504564,61905.092004232676,18063006.332777843
B,100,206,5768,16068,206,618,103094.63719630911,302096.50818372896,0.2544345758089414,0.7455654241910585,156.92404167326308,459.8319207361053,65219.11404440608,116027.70524578175,65539.11404440607,116347.70524578175,61675.596240936844,18124681.92901878
B,100,207,5796,16146,207,621,103525.58454454385,304202.71013562096,0.2539082665963927,0.7460917334036073,156.01761993940346,458.44689526051246,65375.131664345485,116486.15214104226,65695.13166434548,116806.15214104226,61446.45151999159,18186128.380538773
B,100,208,5824,16224,208,624,103955.97634566028,306312.4533746692,0.25338526880200035,0.7466147311979996,155.11653479894483,457.0600748845312,65530.24819914443,116943.21221592679,65850.24819914442,117263.21221592679,61217.660968347605,18247346.04150712
B,100,209,5852,16302,209,627,104385.81344528374,308425.7007703307,0.252865556920397,0.747134443079603,154.2207502937634,455.6715267406791,65684.46894943819,117398.88374266747,66004.46894943819,117718.88374266747,60989.22770344425,18308335.269210566
B,100,210,5880,16380,210,630,104815.09669170785,310542.4153131568,0.2523491056795435,0.7476508943204564,153.3302308202992,454.28131750439456,65837.79918025849,117853.16506017187,66157.79918025849,118173.16506017187,60761.15483246938,18369096.424043037
B,100,211,5908,16458,211,633,105243.8269359552,312662.56011620275,0.25183589003826345,0.7481641099617365,152.44494112345438,452.88951339092085,65990.24412138194,118306.0545735628,66310.24412138194,118626.0545735628,60533.445451437525,18429629.869494475
B,100,212,5936,16536,212,636,105672.00503183425,314786.09841640625,0.2513258851838082,0.7486741148161917,151.56484629085276,451.49618015298205,66141.8089676728,118757.55075371578,66461.8089676728,119077.55075371578,60306.102644383485,18489935.97213886
B,100,213,5964,16614,213,639,106099.63183599286,316912.9935759392,0.2508190665294504,0.7491809334705497,150.68991174746026,450.1013830792698,66292.49887942025,119207.65213679505,66612.49887942025,119527.65213679505,60079.129482673,18550015.10162153
B,100,214,5992,16692,214,642,106526.70820796886,319043.2090835333,0.2503154097121046,0.7496845902878954,149.82010324975118,448.7051869913245,66442.31898267,119656.35732378637,66762.31898267,119976.35732378637,59852.52902410758,18609867.63064564
B,100,215,6020,16770,215,645,106953.23501023733,321176.7085557761,0.24981489058997855,0.7501851094100215,148.9553868806675,447.307656242523,66591.27436955067,120103.6649800289,66911.27436955067,120423.6649800289,59626.30431231905,18669493.93495796
B,100,216,6048,16848,216,648,107379.2131082549,323313.4557383816,0.24931748524024935,0.7506825147597507,148.09572904419662,445.9088547156925,66739.37009859487,120549.57383474459,67059.37009859487,120869.57383474459,59400.458375988914,18728894.39333395
B,100,217,6076,16926,217,651,107804.64337050111,325453.4145074333,0.24882316995676942,0.7511768300432307,147.241096460397,444.50884582182175,66886.61119505526,120994.08268056641,67206.61119505526,121314.08268056641,59174.99422822187,18788069.38756217
B,100,218,6104,17004,218,654,108229.52666851699,327596.5488706016,0.2483319212477974,0.7516680787522027,146.3914561602299,443.1076924979627,67033.00265121549,121437.19037306437,67353.00265121549,121757.19037306437,58949.91486581926,18847019.30242799
B,100,219,6132,17082,219,657,108653.86387694083,329742.8229683329,0.24784371583375756,0.7521562841662425,145.54677548085002,441.7054572062853,67178.54942669634,121878.89583027066,67498.54942669634,122198.89583027066,58725.223268713526,18905744.525696702
B,100,220,6160,17160,220,660,109077.65587354128,331892.2010750151,0.24735853064502386,0.7526414693549761,144.70702206072966,440.30220193241405,67323.25644875706,122319.19803220307,67643.25644875706,122639.19803220307,58500.922399314375,18964245.44809602
B,100,221,6188,17238,221,663,109500.90353924794,334044.6476001147,0.2468763428197313,0.7531236571802687,143.87216383499043,438.8979881841751,67467.12861259206,122758.09602038725,67787.12861259206,123078.09602038725,58277.015201916554,19022522.463297933
B,100,222,6216,17316,222,666,109923.60775817928,336200.12708928983,0.24639712970161173,0.7536028702983883,143.04216903090744,437.49287699066065,67610.17078162296,123195.58889737791,67930.17078162296,123515.58889737791,58053.504602156805,19080575.96790009
B,100,223,6244,17394,223,669,110345.76941766834,338358.604225477,0.2459208688378561,0.7540791311621439,142.21700616340317,436.086928901057,67752.38778778637,123631.67582627897,68072.38778778637,123951.67582627897,57830.39350644602,19138406.361406535
